[INFO] (00:00:0007): compiling base_vs.hlsl, type: vs
[WARN] (00:16:0135): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0150): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0167): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0184): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0201): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0219): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0234): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0251): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0267): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0284): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0301): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0318): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0334): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0352): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0369): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0385): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0401): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0418): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0434): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0451): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0467): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0485): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0501): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0518): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0534): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0552): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0567): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0584): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0601): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0619): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0634): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0651): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0667): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0685): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0701): timers are not ready yet (start: not ready, end: not ready)
[WARN] (00:16:0718): timers are not ready yet (start: not ready, end: not ready)
